Tempo,T01
216,28.72
217,30.41
218,30.0
219,28.35
220,29.64
221,29.29
222,27.64
223,29.74
224,29.24
225,31.19
226,27.44
227,27.81
228,30.25
229,29.21
230,30.52
231,28.19
232,28.05
233,30.19
234,28.96
235,29.06
236,27.05
237,31.02
238,30.6
239,28.8
240,30.14
241,28.14
242,29.02
243,30.24
244,29.26
245,29.8
246,27.06
247,29.35
248,29.92
249,29.42
250,30.91
251,27.09
252,27.97
253,29.85
254,28.84
255,30.53
256,26.99
257,29.48
258,31.03
259,28.16
260,28.85
261,29.71
262,29.91
263,30.65
264,28.23
265,29.21
266,29.09
267,31.24
268,28.88
269,27.77
270,29.79
271,28.29
272,31.34
273,30.63
274,28.13
275,29.94
276,27.19
277,28.81
278,30.53
279,28.92
280,31.41
281,30.23
282,27.9
283,29.22
284,27.32
285,30.95
286,30.49
287,29.5
288,31.16
289,28.38
290,28.11
291,29.3
292,27.6
293,31.41
294,30.4
295,29.22
296,31.23
297,27.97
298,27.34
299,30.01
300,29.74
301,29.71
302,28.2
303,29.66
304,29.24
305,29.41
306,30.64
307,27.29
308,31.31
309,30.44
310,28.24
311,29.52
312,27.71
313,29.11
314,30.79
315,29.46
316,29.91
317,28.59
318,27.9
319,29.2
320,28.3
321,29.35
322,30.15
323,29.64
324,30.83
325,29.55
326,28.15
327,29.54
328,27.91
329,30.28
330,28.92
331,28.53
332,29.4
333,29.55
334,31.34
335,27.82
336,28.34
337,30.71
338,29.5
339,30.02
340,27.17
341,31.53
342,31.05
343,27.63
344,30.11
345,29.01
346,28.41
347,30.34
348,29.67
349,30.52
350,27.87
351,28.87
352,29.51
353,28.44
354,29.69
355,30.99
356,29.71
357,31.31
358,29.87
359,28.23
360,30.01
361,28.42
362,31.57
363,30.93
364,29.65
365,31.1
366,27.47
367,28.44
368,30.91
369,29.75
370,30.72
371,27.5
372,31.29
373,31.05
374,28.72
375,29.64
376,28.81
377,30.81
378,30.33
379,28.87
380,29.23
381,28.48
382,32.22
383,30.49
384,28.48
385,30.56
386,29.05
387,30.1
388,29.89
389,28.35
390,30.87
391,29.53
392,30.17
393,27.96
394,29.41
395,31.02
396,29.77
397,29.76
398,27.53
399,30.7
400,30.87
401,29.62
402,31.33
403,27.61
404,29.12
405,31.04
406,29.78
407,30.15
408,27.77
409,31.07
410,29.25
411,28.7
412,29.61
413,27.9
414,31.62
415,31.07
416,28.68
417,29.7
418,28.64
419,30.35
420,30.39
421,28.65
422,29.32
423,27.7
424,32.2
425,31.07
426,28.42
427,30.32
428,28.94
429,28.36
430,29.64
431,29.58
432,31.51
433,30.58
434,28.32
435,29.93
436,28.2
437,31.74
438,30.65
439,28.77
440,29.69
441,28.32
442,29.68
443,31.06
444,29.97
445,30.05
446,28.07
447,29.09
448,30.28
449,29.94
450,31.84
451,28.55
452,28.67
453,30.3
454,29.28
455,31.91
456,30.59
457,28.23
458,29.77
459,28.3
460,30.31
461,30.83
462,29.22
463,31.23
464,28.06
465,28.01
466,30.15
467,29.31
468,32.17
469,30.46
470,28.71
471,31.99
472,29.49
473,29.03
474,30.84
475,29.27
476,32.01
477,31.26
478,29.19
479,30.93
480,27.91
481,28.39
482,29.85
483,28.32
484,31.98
485,31.22
486,29.24
487,29.8
488,27.85
489,31.2
490,31.17
491,29.12
492,30.86
493,27.72
494,29.47
495,30.74
496,29.66
497,29.85
498,28.07
499,31.9
500,31.11
501,28.94
502,30.16
503,28.48
504,29.64
505,30.51
506,30.2
507,30.11
508,28.44
509,28.13
510,30.55
511,30.5
512,30.8
513,30.6
514,30.01
515,30.86
516,27.93
517,28.51
518,29.87
519,27.82
520,29.64
521,30.68
522,29.85
523,31.99
524,30.45
525,29.95
526,29.98
527,28.3
528,30.52
529,30.59
530,30.0
531,32.24
532,27.83
533,28.59
534,31.2
535,29.94
536,31.55
537,27.96
538,29.52
539,31.34
540,29.13
541,29.76
542,28.03
543,31.07
544,30.94
545,29.98
546,31.46
547,27.76
548,28.37
549,31.18
550,30.41
551,30.01
552,29.09
553,30.53
554,29.92
555,30.06
556,31.23
557,27.8
558,29.02
559,31.23
560,28.62
561,30.03
562,29.97
563,31.8
564,28.49
565,29.11
566,31.39
567,29.54
568,29.95
569,28.65
570,31.59
571,28.74
572,30.39
573,31.15
574,29.13
575,30.48
576,28.39
577,30.21
578,31.24
579,29.6
580,29.95
581,28.7
582,32.19
583,30.81
584,28.7
585,30.01
586,29.94
587,31.35
588,28.94
589,31.44
590,31.97
591,28.39
592,30.95
593,30.33
594,30.87
595,31.28
596,30.12
597,32.0
598,29.66
599,31.83
600,31.09
601,32.57
602,29.82
603,31.11
604,32.21
605,31.18
606,32.13
607,29.73
608,32.96
609,31.7
610,30.67
611,31.8
612,31.6
613,33.16
614,29.39
615,30.3
616,32.73
617,31.49
618,31.9
619,29.46
620,31.85
621,32.47
622,30.48
623,31.42
624,30.81
625,33.16
626,30.17
627,30.17
628,32.21
629,31.58
630,31.52
631,29.05
632,33.69
633,29.76
634,31.97
635,30.88
636,30.17
637,32.44
638,30.81
639,31.81
640,30.31
641,33.04
642,30.23
643,32.1
644,32.71
645,30.42
646,31.36
647,30.45
648,33.1
649,30.82
650,29.95
651,32.91
652,30.72
653,31.41
654,30.1
655,33.51
656,31.12
657,31.52
658,32.52
659,30.02
660,31.35
661,31.44
662,31.31
663,29.91
664,33.57
665,32.18
666,29.94
667,31.56
668,31.41
669,31.33
670,30.9
671,33.37
672,30.07
673,30.3
674,33.12
675,30.65
676,31.36
677,31.04
678,31.81
679,32.25
680,29.94
681,32.73
682,30.02
683,31.39
684,31.62
685,31.33
686,29.84
687,33.46
688,30.69
689,32.47
690,31.79
691,30.19
692,32.44
693,30.72
694,31.44
695,30.95
696,32.2
697,29.34
698,33.4
699,29.84
700,30.96
701,30.18
702,30.06
703,32.69
704,31.1
705,31.33
706,30.92
707,31.55
708,30.49
709,31.75
710,29.51
711,33.17
712,29.69
713,32.96
714,30.26
715,29.81
716,30.28
717,32.1
718,29.12
719,31.98
720,31.48
721,31.54
722,31.38
723,30.85
724,33.01
725,29.85
726,31.25
727,31.97
728,30.16
729,31.34
730,31.37
731,33.33
732,29.52
733,31.62
734,31.76
735,30.35
736,32.33
737,30.25
738,32.49
739,31.52
740,32.07
741,31.4
742,32.04
743,31.39
744,31.29
745,31.06
746,31.23
747,29.9
748,33.15
749,29.3
750,33.28
751,29.78
752,30.44
753,31.67
754,30.09
755,31.97
756,32.07
757,30.57
758,30.51
759,32.18
760,30.52
761,31.32
762,31.35
763,31.43
764,32.5
765,31.15
766,33.43
767,29.57
768,30.59
769,32.79
770,31.4
771,31.39
772,31.05
773,32.56
774,29.92
775,32.87
776,30.12
777,30.22
778,32.73
779,31.3
780,31.79
781,30.85
782,32.71
783,29.83
784,33.89
785,32.17
786,30.94
787,32.04
788,32.25
789,33.08
790,30.5
791,33.62
792,31.7
793,31.55
794,32.76
795,32.74
796,31.93
797,32.83
798,32.92
799,31.52
800,34.4
801,30.99
802,32.57
803,32.79
804,32.53
805,32.36
806,32.8
807,32.41
808,31.49
809,32.69
810,30.98
811,33.43
812,30.86
813,33.54
814,30.82
815,34.46
816,31.6
817,33.36
818,33.45
819,31.74
820,32.85
821,32.63
822,32.82
823,32.09
824,34.32
825,31.2
826,33.47
827,33.43
828,32.08
829,32.52
830,32.84
831,34.46
832,30.76
833,33.81
834,31.25
835,33.4
836,31.64
837,31.81
838,33.53
839,31.53
840,33.47
841,32.92
842,32.4
843,32.48
844,32.82
845,31.85
846,34.43
847,31.43
848,34.6
849,31.84
850,34.19
851,33.35
852,32.54
853,33.39
854,32.23
855,33.04
856,33.05
857,32.93
858,31.18
859,34.73
860,32.77
861,32.11
862,33.56
863,32.03
864,32.6
865,33.06
866,33.68
867,31.78
868,34.59
869,31.34
870,33.46
871,32.5
872,31.88
873,33.79
874,31.81
875,33.69
876,32.27
877,33.2
878,32.88
879,32.57
880,33.26
881,32.76
882,33.32
883,33.39
884,32.38
885,33.76
886,31.97
887,32.35
888,31.58
889,33.72
890,32.38
891,31.78
892,33.62
893,33.08
894,32.82
895,31.84
896,34.4
897,31.24
898,34.15
899,33.81
900,32.0
901,32.67
902,32.93
903,34.08
904,31.3
905,34.86
906,32.5
907,33.26
908,33.86
909,32.15
910,32.78
911,32.9
912,34.88
913,31.93
914,34.14
915,32.64
916,32.29
917,33.75
918,33.04
919,32.97
920,31.15
921,33.99
922,31.75
923,32.94
924,34.22
925,31.77
926,33.52
927,32.45
928,33.98
929,31.54
930,33.37
931,33.64
932,32.09
933,32.89
934,32.52
935,34.68
936,32.21
937,31.89
938,33.27
939,33.19
940,34.05
941,31.73
942,33.72
943,33.84
944,32.78
945,33.38
946,32.59
947,34.86
948,31.22
949,32.9
950,33.77
951,32.99
952,32.69
953,31.92
954,34.13
955,31.3
956,33.99
957,32.62
958,32.04
959,33.74
960,33.06
961,32.87
962,33.23
963,33.08
964,31.32
965,34.3
966,31.12
967,34.99
968,32.55
